MS,OS,Time Differences,Assignment Differences,Makespan,Optimal Time Differences,Optimal Assignment Differences,Optimal Makespan
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-2-11-6-0-9-8-7-10-5-9-1-11-3-8-8-9-0-7-1-1-11-10-9-5-0-5-5-10-1,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-11-3-6-9-2-8-7-9-1-0-11-5-3-8-8-10-9-7-0-1-10-5-11-0-5-9-1-1-10-5,304397.00000,7.00000,1485.00000,287111,7,1470
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-11-9-5-6-2-9-7-8-0-11-3-10-1-9-8-1-7-8-0-1-11-10-5-0-5-1-9-5-10,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-2-11-9-9-6-8-7-5-3-0-11-8-10-9-1-7-8-0-1-9-5-10-11-0-5-1-1-5-10,304397.00000,7.00000,1485.00000,287111,7,1470
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-11-9-5-7-2-9-7-3-8-6-11-10-0-8-8-1-1-9-0-1-11-10-5-0-5-1-9-5-10,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-11-9-6-2-7-9-8-5-1-0-3-10-11-9-8-8-0-7-10-1-5-11-0-10-9-1-5-1-5,304397.00000,7.00000,1485.00000,287111,7,1470
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-11-9-5-7-2-8-9-10-3-0-1-11-7-8-8-1-6-9-0-1-11-10-5-0-5-9-5-10-1,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-11-2-7-9-9-6-8-5-0-3-11-1-9-10-8-8-0-7-10-1-11-9-5-0-1-10-5-5-1,304397.00000,7.00000,1485.00000,287111,7,1470
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-11-3-2-6-9-7-9-8-5-0-3-10-11-9-1-8-7-1-8-0-1-10-11-5-0-5-10-9-1-5,264992.00000,9.00000,1445.00000,264992,9,1445
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-11-9-2-6-7-9-8-5-0-11-3-10-1-9-8-1-8-7-0-1-5-11-10-0-5-1-9-5-10,264992.00000,9.00000,1445.00000,264992,9,1445
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-11-7-5-6-2-9-9-8-0-10-11-3-1-9-8-1-8-7-0-1-10-11-5-0-10-5-1-9-5,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,2-3-9-7-11-1-8-9-10-5-0-6-1-3-8-0-11-10-9-7-1-10-5-8-8-9-1-5-0-11-5,606851.00000,5.00000,1555.00000,392939,5,1553
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-2-11-7-9-9-8-5-0-6-3-11-10-9-1-8-8-0-7-10-1-11-9-5-0-10-1-5-5-1,304397.00000,7.00000,1485.00000,287111,7,1470
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-11-6-3-9-5-2-8-9-0-7-3-1-11-8-10-8-1-7-9-0-1-11-10-5-0-5-9-5-1-10,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-2-11-0-7-6-9-9-8-3-5-11-10-1-9-8-8-0-7-1-5-11-1-10-9-5-0-5-1-10,288520.00000,8.00000,1445.00000,288520,8,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-11-2-9-6-7-9-8-5-1-0-11-10-3-9-8-8-0-7-1-5-11-0-10-9-1-5-1-5-10,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,9-11-7-2-8-1-0-5-7-3-6-8-3-11-9-1-10-0-8-5-11-9-8-1-10-9-1-10-5-0-5,524438.00000,5.00000,1590.00000,392939,5,1553
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-11-9-6-2-5-7-9-8-7-10-3-0-1-11-8-8-9-1-0-1-10-11-5-0-10-9-5-5-1,264992.00000,9.00000,1445.00000,264992,9,1445
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-11-9-6-2-9-7-8-0-5-10-11-3-8-8-1-7-1-9-0-1-10-5-11-0-5-9-1-10-5,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-11-9-2-8-7-6-9-0-5-3-11-10-1-8-8-9-0-7-10-1-5-11-0-10-9-1-5-5-1,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-2-9-11-9-6-8-7-3-1-0-11-5-8-9-10-8-7-0-10-1-5-11-0-9-1-5-10-1-5,304397.00000,7.00000,1485.00000,287111,7,1470
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-11-3-5-2-6-9-9-7-8-0-3-11-10-8-9-8-7-1-0-1-5-1-10-11-9-0-10-5-1-5,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-5-11-3-2-0-7-6-9-9-8-11-3-10-1-9-8-8-0-7-1-1-11-10-5-9-5-0-1-10-5,288520.00000,8.00000,1445.00000,288520,8,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-2-3-11-6-7-9-5-9-0-8-11-3-10-9-1-8-8-0-7-10-5-1-11-0-5-9-10-1-1-5,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-2-11-6-9-9-7-5-8-0-11-10-1-3-9-8-8-7-0-10-1-11-9-5-0-1-10-5-1-5,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-11-5-2-9-8-6-7-9-3-0-1-11-8-9-8-10-7-1-0-10-5-9-11-0-5-1-1-5-10,304397.00000,7.00000,1485.00000,287111,7,1470
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-11-3-9-7-2-6-5-9-8-10-0-11-3-1-8-8-7-9-1-0-1-10-11-5-0-10-9-5-5-1,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-2-11-6-9-7-8-9-3-0-11-5-8-10-1-8-7-9-0-10-1-5-11-0-5-10-9-1-1-5,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,9-11-1-0-2-8-7-5-3-3-6-8-1-11-9-10-7-0-8-5-11-9-10-8-1-9-0-1-5-10-5,524438.00000,5.00000,1590.00000,392939,5,1553
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-1-0-0-2-0,9-11-7-1-2-8-0-5-1-3-6-8-3-7-9-11-10-0-8-11-5-9-1-8-10-9-1-10-5-0-5,543198.00000,6.00000,1570.00000,325364,5,1475
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-2-3-11-0-7-6-9-9-8-5-11-3-10-1-9-8-8-0-7-1-5-11-1-10-9-5-0-5-1-10,288520.00000,8.00000,1445.00000,288520,8,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-1-0-0-2-0,9-11-7-0-2-8-1-5-7-3-6-8-3-11-9-1-10-0-8-5-11-9-8-1-10-9-0-10-1-5-5,543198.00000,6.00000,1570.00000,325364,5,1475
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-5-11-0-9-6-3-9-2-7-8-11-3-10-1-9-8-1-8-7-0-1-11-10-5-9-5-1-0-10-5,288520.00000,8.00000,1445.00000,288520,8,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,8-11-9-1-2-5-7-8-3-6-0-11-8-3-9-1-8-7-10-5-0-9-1-10-11-0-9-1-10-5-5,408631.00000,5.00000,1599.00000,392939,5,1553
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-11-3-9-5-2-7-9-8-1-6-0-11-3-10-8-8-7-1-9-0-1-11-10-5-0-5-1-9-5-10,264992.00000,9.00000,1445.00000,264992,9,1445
