MS,OS,Time Differences,Assignment Differences,Makespan
0-1-0-1-1-0-0-1-1-0-0-2-1,4-1-2-3-0-0-1-4-2-2-3-4-0,34585.00000,5.00000,630.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-4-2-1-3-1-0-4-2-3-0-2-4,73409.00000,3.00000,618.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-1-4-3-2-1-4-2-0-0-3-2-4,73409.00000,3.00000,618.00000
0-0-2-0-1-0-2-1-1-1-0-2-1,3-1-1-0-0-2-4-2-4-2-0-3-4,57522.00000,5.00000,588.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,1-1-3-3-4-0-0-4-2-2-0-2-4,54994.00000,3.00000,651.00000
1-1-0-1-1-0-0-2-1-0-1-2-0,2-1-1-2-3-2-3-4-0-4-0-0-4,37346.00000,8.00000,611.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,0-1-3-2-4-4-0-1-0-2-2-3-4,61877.00000,3.00000,644.00000
1-1-0-1-1-0-0-2-1-0-1-2-0,1-1-0-2-3-2-3-4-0-4-2-0-4,37346.00000,8.00000,611.00000
0-1-0-1-1-0-0-1-1-0-0-2-1,4-3-1-2-0-0-1-4-2-2-4-3-0,34585.00000,5.00000,630.00000
0-1-0-1-1-0-2-1-1-1-0-2-0,1-0-3-2-0-2-1-4-4-4-3-0-2,43239.00000,6.00000,594.00000
0-0-0-0-1-0-0-1-1-1-0-2-1,3-1-0-1-2-4-2-4-0-2-0-3-4,43933.00000,7.00000,588.00000
0-1-0-1-1-0-0-1-1-0-0-2-1,0-1-2-4-3-2-3-1-0-0-4-2-4,37548.00000,5.00000,596.00000
1-1-2-1-1-0-0-1-1-0-0-2-1,1-2-0-0-2-4-1-0-3-3-2-4-4,49870.00000,4.00000,618.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,0-3-1-4-2-2-4-0-1-0-3-2-4,61877.00000,3.00000,644.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-3-1-1-2-0-2-0-4-2-4-4-3,70126.00000,3.00000,621.00000
1-1-2-1-1-0-0-1-1-0-0-2-1,0-4-1-2-1-3-0-2-2-4-3-0-4,49870.00000,4.00000,618.00000
0-1-0-1-1-0-2-1-1-1-0-2-0,0-1-2-1-4-3-4-2-3-0-0-4-2,43239.00000,6.00000,594.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,0-4-1-3-4-1-0-3-2-2-0-4-2,54994.00000,3.00000,651.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,1-0-4-2-3-0-2-1-0-2-3-4-4,70126.00000,3.00000,621.00000
0-0-0-0-1-0-0-1-1-1-0-2-1,1-0-2-3-0-4-1-4-2-0-3-2-4,43933.00000,7.00000,588.00000
0-0-2-0-1-0-2-1-1-1-0-2-1,3-1-4-0-0-2-2-4-1-2-0-3-4,57522.00000,5.00000,588.00000
0-1-1-1-1-0-2-1-1-0-0-2-1,0-4-3-1-4-0-0-3-2-2-1-4-2,47714.00000,4.00000,651.00000
0-1-1-1-1-0-2-1-1-0-0-2-1,1-1-3-3-4-0-0-4-2-2-0-2-4,47714.00000,4.00000,651.00000
0-1-0-1-1-0-0-1-1-0-0-2-1,4-1-0-2-3-2-3-1-4-0-4-2-0,37548.00000,5.00000,596.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,3-0-2-1-2-1-0-4-0-4-3-2-4,73409.00000,3.00000,618.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-3-2-1-2-1-0-2-0-4-4-3-4,70126.00000,3.00000,621.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-3-2-1-0-2-1-2-4-4-0-3-4,70126.00000,3.00000,621.00000
1-1-2-1-1-0-0-1-1-0-0-2-1,0-3-4-2-1-1-2-2-0-0-3-4-4,49870.00000,4.00000,618.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,0-4-1-3-2-0-2-3-1-0-4-2-4,61877.00000,3.00000,644.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,0-0-1-3-4-4-3-1-2-2-0-4-2,54994.00000,3.00000,651.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,0-1-3-4-2-1-4-0-2-2-3-0-4,61877.00000,3.00000,644.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,3-0-1-1-4-4-0-3-2-2-0-4-2,54994.00000,3.00000,651.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,3-0-1-4-4-0-1-2-3-0-2-4-2,54994.00000,3.00000,651.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,2-1-1-3-2-2-0-3-4-0-4-0-4,70126.00000,3.00000,621.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-3-4-1-1-2-0-2-0-2-4-4-3,70126.00000,3.00000,621.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-1-3-1-4-2-2-0-4-0-3-4-2,73409.00000,3.00000,618.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,0-2-3-1-0-4-4-1-2-0-3-2-4,61877.00000,3.00000,644.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-3-2-4-1-1-2-2-0-0-4-4-3,70126.00000,3.00000,621.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,0-2-3-4-4-1-2-0-1-2-3-4-0,61877.00000,3.00000,644.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-1-1-2-4-3-0-4-2-3-2-4-0,73409.00000,3.00000,618.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-2-3-1-4-4-0-1-0-2-2-4-3,73409.00000,3.00000,618.00000
1-1-2-1-1-0-0-1-1-0-0-2-1,0-1-3-1-4-2-2-0-2-3-0-4-4,49870.00000,4.00000,618.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-1-4-1-3-2-2-0-2-0-3-4-4,70126.00000,3.00000,621.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,3-0-1-2-4-1-2-4-0-3-0-4-2,73409.00000,3.00000,618.00000
0-1-2-1-1-0-2-1-1-0-0-2-1,0-3-2-1-0-4-1-2-4-0-3-2-4,61877.00000,3.00000,644.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,0-1-3-4-2-1-4-0-2-3-2-0-4,73409.00000,3.00000,618.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,3-2-0-4-1-1-2-2-4-0-0-4-3,70126.00000,3.00000,621.00000
1-1-2-1-1-0-2-1-1-0-0-2-1,1-3-0-1-4-2-2-0-4-0-3-2-4,73409.00000,3.00000,618.00000
1-1-2-1-1-0-0-1-1-0-0-2-1,0-2-3-1-0-2-1-2-4-4-3-0-4,49870.00000,4.00000,618.00000
